//time hold_duration olliQty UdinQty
// Initial
8339 0.5 1 0
9359 0.5 1 0
10379 0.5 1 0
11359 0.5 1 0
12339 0.5 1 0
13339 0.5 1 0
14339 0.5 1 0
14819 0.5 1 0
15359 0.5 1 0
16379 0.5 1 0
17379 0.5 1 0
18339 0.5 1 0
19338 0.5 1 0
20338 0.5 1 0
21338 0.5 1 0
22338 0.5 1 0
22858 0.5 1 0
23378 0.5 1 0
24338 0.5 1 0
25338 0.5 1 0
26318 0.5 1 0
27358 0.5 1 0
28338 0.5 1 0
29378 0.5 1 0
30298 0.5 1 0
30818 0.5 1 0
31358 0.5 1 0
32318 0.5 1 0
33318 0.5 1 0
34358 0.5 1 0
35338 0.5 1 0
36358 0.5 1 0
37298 0.5 1 0
38277 0.5 1 0
38797 0.5 1 0
39317 0.5 1 0
40317 0.5 1 0
41277 0.5 1 0
42277 0.5 1 0
43277 0.5 1 0
44277 0.5 1 0
45297 0.5 1 0
46257 0.5 1 0
46817 0.5 1 0
47297 0.5 1 0
48317 0.5 1 0
49377 0.5 1 0
50377 0.5 1 0
51337 0.5 1 0
52297 0.5 1 0
53357 0.5 1 0
54277 0.5 1 0
54797 0.5 1 0
55317 0.5 1 0

// Jazzy part, udin intro
56356 0.5 1 0
56876 0.5 1 0
57836 0.5 1 0
58276 0.5 1 0
58836 0.5 1 0
59796 0.5 1 0
60836 0.5 1 0
61856 0.5 1 0
62316 0.5 1 0
62836 0.5 1 0
63856 0.5 1 0
64896 0.5 1 0
65856 0.5 1 0
66336 0.5 1 0
66836 0.5 1 0
67816 0.5 1 0
68856 0.5 1 0
69836 0.5 1 0
70296 0.5 1 0
70816 0.5 1 0

71798 0.5 1 1
72798 0.5 1 1
73798 0.5 1 1
74838 0.5 1 1
75818 0.5 1 1
76758 0.5 1 1
77758 0.5 1 1
78758 0.5 1 1
79758 0.5 1 1
80758 0.5 1 1
81798 0.5 1 1
82778 0.5 1 1
83778 0.5 1 1
84778 0.5 1 1
85798 0.5 1 1
86818 0.5 1 1
87797 0.5 1 1

// back
88777 0.5 1 0
89837 0.5 1 0
90837 0.5 1 0
91797 0.5 1 0
92837 0.5 1 0
93817 0.5 1 0
94337 0.5 1 0
94837 0.5 1 0
95317 0.5 1 0
96337 0.5 1 0
97337 0.5 1 0
98317 0.5 1 0
99317 0.5 1 0
100297 0.5 1 0
101297 0.5 1 0
102337 0.5 1 0
102797 0.5 1 0
103317 0.5 1 0
104317 0.5 1 0
105317 0.5 1 1
106317 0.5 1 0
107316 0.5 1 1
108316 0.5 1 0
109316 0.5 1 1
110296 0.5 1 0
110776 0.5 1 0
111336 0.5 1 0
112356 0.5 1 0
113316 0.5 1 1
114316 0.5 1 0
115316 0.5 1 1
116336 0.5 1 0
117316 0.5 1 1
118296 0.5 1 0
118816 0.5 1 0
119336 0.5 1 0
120316 0.5 1 0
121316 0.5 1 1
122316 0.5 1 0
123336 0.5 1 1
124336 0.5 1 0
125355 0.5 1 1
126355 0.5 1 0
126835 0.5 1 0
127335 0.5 1 0
128335 0.5 1 0
129355 0.5 1 1
130355 0.5 1 0
131355 0.5 1 1
132335 0.5 1 0
133315 0.5 1 1
134295 0.5 1 0
134795 0.5 1 0
136315 2 5 1
